Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
FAST,daily,2021-03-19,31366400,2020-01-17,25703600,2020-01-16,11917200,2020-01-14,10991200,2020-01-02,8380600,,,,,,,,,,
ADP,daily,2021-03-19,10171500,2020-07-30,8449300,2020-03-20,6257600,2020-03-12,5497200,2020-02-28,4583100,2020-01-29,3842800,2020-01-17,2818200,2020-01-16,2281200,2020-01-15,2114600,2020-01-07,1878900
NXPI,daily,2021-03-19,53102200,2020-05-29,42770800,2020-03-18,10744500,2020-03-17,9133800,2020-03-16,7781200,2020-03-12,7271900,2020-03-09,5696500,2020-02-04,5560000,2020-01-31,4448500,2020-01-27,3781200
TRI,daily,2021-02-23,2392285,2020-03-12,2091732,2020-02-25,1215595,2020-01-14,934495,2020-01-06,437491,2020-01-02,282352,,,,,,,,
PCAR,daily,2021-01-21,12132150,2020-03-12,6842700,2020-02-28,6289050,2020-02-27,4999800,2020-01-31,4968600,2020-01-28,4816050,2020-01-27,3552450,2020-01-08,2749350,2020-01-06,2698200,2020-01-02,2597100
BKNG,daily,2020-11-09,1649300,2020-02-27,1338000,2020-02-25,958300,2020-02-24,886000,2020-01-31,717800,2020-01-21,711700,2020-01-16,546800,2020-01-06,384000,2020-01-02,329000,,
VRTX,daily,2020-10-15,17493000,2020-05-29,5392900,2020-03-17,4447500,2020-03-13,3813400,2020-03-12,3757900,2020-01-31,3373500,2020-01-16,2124000,2020-01-08,1802600,2020-01-06,1436600,2020-01-02,1334300
PLTR,daily,2020-09-30,338584400,,,,,,,,,,,,,,,,,,
AMAT,daily,2020-08-14,23421900,2020-02-13,21742700,2020-02-04,12322100,2020-01-31,10132200,2020-01-30,9656100,2020-01-27,9350600,2020-01-06,8586000,2020-01-02,6647900,,,,
AEP,daily,2020-07-27,22455700,2020-05-15,8018100,2020-03-12,7534000,2020-03-03,6823000,2020-02-28,6763800,2020-02-27,5865600,2020-01-21,4731400,2020-01-17,4554800,2020-01-15,4114400,2020-01-14,2717500
INTC,daily,2020-07-24,182269900,2020-01-24,84711000,2020-01-23,42778700,2020-01-22,29475100,2020-01-21,28358500,2020-01-08,23133500,2020-01-07,21876100,2020-01-02,18056000,,,,
CSCO,daily,2020-06-26,106928300,2020-02-28,80188000,2020-02-27,51442900,2020-02-25,48024700,2020-02-13,47044700,2020-02-12,31686200,2020-01-17,27176200,2020-01-08,25175900,2020-01-06,22183600,2020-01-02,16708100
TMUS,daily,2020-06-24,66903100,2020-02-11,25874400,2020-02-07,6740600,2020-02-04,4597800,2020-01-21,3612000,2020-01-17,3559600,2020-01-02,3392700,,,,,,
ZS,daily,2020-05-29,22768800,2020-02-21,13200700,2020-02-20,4711000,2020-01-09,4279200,2020-01-08,3232500,2020-01-07,1714900,2020-01-06,1534600,2020-01-02,1377200,,,,
REGN,daily,2020-05-28,7869500,2020-05-27,5902600,2020-03-17,3856500,2020-02-25,3568800,2020-02-24,2959700,2020-02-06,1605500,2020-01-21,1488400,2020-01-17,862800,2020-01-08,743100,2020-01-07,736400
MCHP,daily,2020-05-27,20745600,2020-03-12,20688400,2020-01-03,20029800,2020-01-02,9717800,,,,,,,,,,,,
DXCM,daily,2020-05-11,94684000,2020-04-17,15599600,2020-02-14,13438400,2020-01-13,6299600,2020-01-07,5351200,2020-01-02,3410400,,,,,,,,
MELI,daily,2020-05-06,2359100,2020-02-11,1452100,2020-01-14,976500,2020-01-10,680200,2020-01-02,589200,,,,,,,,,,
GILD,daily,2020-04-17,94348500,2020-02-27,51482500,2020-02-24,42905000,2020-02-03,35527100,2020-01-24,18685100,2020-01-23,14648700,2020-01-17,13457600,2020-01-16,10633900,2020-01-14,9929700,2020-01-06,8248700
CCEP,daily,2020-03-25,10565900,2020-03-19,5000800,2020-03-13,3256300,2020-03-12,2620900,2020-02-28,2606100,2020-02-27,1954700,2020-02-20,1691500,2020-01-07,1367200,2020-01-02,759900,,
ORLY,daily,2020-03-24,43822500,2020-02-06,32776500,2020-01-31,19123500,2020-01-16,13134000,2020-01-06,12556500,2020-01-02,11941500,,,,,,,,
CTAS,daily,2020-03-20,10294800,2020-03-12,7770800,2020-02-28,5569200,2020-02-27,3731200,2020-02-25,3501600,2020-01-09,3243200,2020-01-08,2808400,2020-01-02,2176800,,,,
MAR,daily,2020-03-18,25881800,2020-03-17,12101600,2020-03-16,9327200,2020-03-12,9065700,2020-03-11,8901300,2020-03-04,7343700,2020-02-27,6958600,2020-02-25,5128400,2020-02-24,3197500,2020-01-21,2757200
MNST,daily,2020-03-10,16962000,2020-02-28,14429200,2020-02-27,14253000,2020-02-04,11572000,2020-02-03,9039000,2020-01-10,8936400,2020-01-07,6735600,2020-01-06,4469200,2020-01-02,3566000,,
FANG,daily,2020-03-09,19434300,2020-03-06,6880600,2020-02-28,4762200,2020-02-19,4359300,2020-02-10,3973100,2020-01-30,3936700,2020-01-28,2815100,2020-01-13,2451800,2020-01-07,2196900,2020-01-03,2168500
AAPL,daily,2020-02-28,426510000,2020-02-27,320605600,2020-02-25,230673600,2020-02-24,222195200,2020-01-29,216229200,2020-01-09,170108400,2020-01-03,146322800,2020-01-02,135480400,,,,
MSFT,daily,2020-02-28,97012700,2020-02-27,93174900,2020-02-24,68311100,2020-02-11,53159900,2020-01-30,51597500,2020-01-29,34754500,2020-01-17,34371700,2020-01-08,27746500,2020-01-02,22622100,,
SNPS,daily,2020-02-20,4667200,2020-02-19,1760900,2020-01-17,1431800,2020-01-08,1241800,2020-01-02,1095100,,,,,,,,,,
CPRT,daily,2020-02-20,28744800,2020-01-02,10866000,,,,,,,,,,,,,,,,
KHC,daily,2020-02-13,37333600,2020-02-07,13268800,2020-02-05,9092800,2020-01-29,9042600,2020-01-09,8938400,2020-01-07,7165700,2020-01-02,6008700,,,,,,
TSLA,daily,2020-02-04,914082000,2020-02-03,705975000,2020-01-22,470535000,2020-01-08,467164500,2020-01-07,268231500,2020-01-03,266677500,2020-01-02,142981500,,,,,,
AMZN,daily,2020-01-31,311346000,2020-01-30,126548000,2020-01-06,81236000,2020-01-02,80580000,,,,,,,,,,,,
