Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
SENEA,1154198945.0569696,monthly,2023-07-01,3116600,2023-02-01,1352900.0,2021-03-01,1312800.0,2020-08-01,1107100.0,2020-07-01,967200.0,2020-06-01,945300.0,2020-03-01,862800.0,2020-02-01,437900.0,,,,
LOCO,512258135.6492309,monthly,2023-07-01,18751100,2020-03-01,13635900.0,2020-02-01,5058100.0,,,,,,,,,,,,,,
ILPT,618655508.118451,monthly,2023-06-01,55721700,2023-03-01,48906900.0,2022-09-01,36696300.0,2022-08-01,18300400.0,2022-07-01,17944400.0,2022-05-01,16438500.0,2020-03-01,12769100.0,2020-02-01,7459300.0,,,,
OBT,495422067.2634861,monthly,2023-06-01,2233400,2021-08-01,847400.0,2020-11-01,245600.0,2020-10-01,133800.0,2020-06-01,73200.0,2020-02-01,32200.0,,,,,,,,
NWFL,353838826.3277742,monthly,2023-06-01,1532900,2021-06-01,1319000.0,2021-03-01,484700.0,2021-02-01,305300.0,2020-03-01,279600.0,2020-02-01,128200.0,,,,,,,,
CZFS,354700360.29637975,monthly,2023-06-01,1004044,2023-03-01,902175.0,2023-02-01,185251.0,2022-08-01,89461.0,2020-03-01,66659.0,2020-02-01,4533.0,,,,,,,,
CTS,1858539191.6342416,monthly,2023-06-01,6127200,2021-03-01,4697600.0,2020-06-01,4618000.0,2020-05-01,4006300.0,2020-03-01,3974400.0,2020-02-01,1660600.0,,,,,,,,
ZUMZ,307917941.7994506,monthly,2023-06-01,20387500,2023-03-01,14062200.0,2020-03-01,13139400.0,2020-02-01,4442400.0,,,,,,,,,,,,
DPG,533467718.0,monthly,2023-06-01,6602300,2020-03-01,6496700.0,2020-02-01,2604500.0,,,,,,,,,,,,,,
CWCO,471845623.1791609,monthly,2023-06-01,5842900,2022-09-01,4966100.0,2021-06-01,4536900.0,2021-04-01,2391200.0,2020-07-01,2355300.0,2020-03-01,2113200.0,2020-02-01,958400.0,,,,,,
RNGR,374483188.0128287,monthly,2023-06-01,5930200,2023-05-01,2518500.0,2022-06-01,1563800.0,2022-04-01,1205400.0,2021-11-01,1051300.0,2020-06-01,938400.0,2020-03-01,314000.0,2020-02-01,76000.0,,,,
DEI,1998099171.4952707,monthly,2023-06-01,114277000,2023-03-01,81142600.0,2022-09-01,41641600.0,2021-03-01,37432100.0,2020-11-01,36759300.0,2020-09-01,36629800.0,2020-05-01,34535500.0,2020-03-01,34254900.0,2020-02-01,22830500.0,,
